ID	Name	miRNA_ID	SPOT_ID
48633			EMPTY
50040			EMPTY
50056			EMPTY
50242			EMPTY
48924			EMPTY
49102			EMPTY
49806			EMPTY
50317			EMPTY
48695			EMPTY
49651			EMPTY
47290			EMPTY
49853			EMPTY
48828			EMPTY
49527			EMPTY
49648			EMPTY
47967			EMPTY
49730			EMPTY
49979			EMPTY
28098			EMPTY
49179			EMPTY
49737			EMPTY
49435			EMPTY
50286			EMPTY
49372			EMPTY
50112			EMPTY
50060			EMPTY
49833			EMPTY
13430			EMPTY
48969			EMPTY
30773			EMPTY
49992			EMPTY
48113			EMPTY
49934			EMPTY
50202			EMPTY
47852			EMPTY
49332			EMPTY
47674			EMPTY
49137			EMPTY
28684			EMPTY
49549			EMPTY
49220			EMPTY
50473			EMPTY
9938			EMPTY
11093			EMPTY
13140			EMPTY
19015			EMPTY
42661			EMPTY
42892			EMPTY
42783			EMPTY
10919			EMPTY
42982			EMPTY
46803			EMPTY
27539			EMPTY
13485			EMPTY
42567			EMPTY
28480			EMPTY
46219			EMPTY
42728			EMPTY
42457			EMPTY
14313			EMPTY
42509			EMPTY
42556			EMPTY
42847			EMPTY
11113			EMPTY
17636			EMPTY
42914			EMPTY
46469			EMPTY
11014			EMPTY
14302			EMPTY
19585			EMPTY
11114			EMPTY
42958			EMPTY
46484			EMPTY
17888			EMPTY
13178			EMPTY
42652			EMPTY
49484			EMPTY
49626			EMPTY
47213			EMPTY
49535			EMPTY
50256			EMPTY
49400			EMPTY
49133			EMPTY
50152			EMPTY
49915			EMPTY
24199			EMPTY
48993			EMPTY
50037			EMPTY
49278			EMPTY
28581			EMPTY
50023			EMPTY
49617			EMPTY
49609			EMPTY
49810			EMPTY
50308			EMPTY
48987			EMPTY
49254			EMPTY
50313			EMPTY
49650			EMPTY
50069			EMPTY
26160			EMPTY
29562			EMPTY
48598			EMPTY
48984			EMPTY
50166			EMPTY
50222			EMPTY
48335			EMPTY
50053			EMPTY
49887			EMPTY
50207			EMPTY
49803			EMPTY
48081			EMPTY
48978			EMPTY
47070			EMPTY
50246			EMPTY
49662			EMPTY
49877			EMPTY
50237			EMPTY
48931			EMPTY
49323			EMPTY
50107			EMPTY
50350			EMPTY
50421			EMPTY
50214			EMPTY
47926			EMPTY
49062			EMPTY
50281			EMPTY
47530			EMPTY
49774			EMPTY
46988			EMPTY
50182			EMPTY
49817			EMPTY
50365			EMPTY
50349			EMPTY
49646			EMPTY
49368			EMPTY
47696			EMPTY
49256			EMPTY
49999			EMPTY
47569			EMPTY
49844			EMPTY
49931			EMPTY
50046			EMPTY
48630			EMPTY
48187			EMPTY
49563			EMPTY
50072			EMPTY
50131			EMPTY
50050			EMPTY
49159			EMPTY
49085			EMPTY
50433			EMPTY
47195			EMPTY
48901			EMPTY
50074			EMPTY
48645			EMPTY
49358			EMPTY
49562			EMPTY
49634			EMPTY
48934			EMPTY
48120			EMPTY
49824			EMPTY
48454			EMPTY
49518			EMPTY
49245			EMPTY
49734			EMPTY
49383			EMPTY
48174			EMPTY
49490			EMPTY
48059			EMPTY
47839			EMPTY
50445			EMPTY
49033			EMPTY
49304			EMPTY
47350			EMPTY
48125			EMPTY
49264			EMPTY
49682			EMPTY
49035			EMPTY
47808			EMPTY
48907			EMPTY
49872			EMPTY
47723			EMPTY
47348			EMPTY
50375			EMPTY
24127			EMPTY
49590			EMPTY
50397			EMPTY
49168			EMPTY
49673			EMPTY
47375			EMPTY
48182			EMPTY
49756			EMPTY
49257			EMPTY
49015			EMPTY
49904			EMPTY
27953			EMPTY
50086			EMPTY
47699			EMPTY
49315			EMPTY
49416			EMPTY
49598			EMPTY
49203			EMPTY
50428			EMPTY
49684			EMPTY
49708			EMPTY
49753			EMPTY
49499			EMPTY
50049			EMPTY
47414			EMPTY
48995			EMPTY
49746			EMPTY
29872			EMPTY
48997			EMPTY
49571			EMPTY
49942			EMPTY
49542			EMPTY
50422			EMPTY
49274			EMPTY
49219			EMPTY
50338			EMPTY
50030			EMPTY
49214			EMPTY
50399			EMPTY
13389			EMPTY
11022			EMPTY
10991			EMPTY
42637			EMPTY
32711			EMPTY
42853			EMPTY
42703			EMPTY
18739			EMPTY
42980			EMPTY
46730			EMPTY
42575			EMPTY
42934			EMPTY
42643			EMPTY
42730			EMPTY
10964			EMPTY
42962			EMPTY
24217			EMPTY
30973			EMPTY
30687			EMPTY
42682			EMPTY
42625			EMPTY
31026			EMPTY
11108			EMPTY
11052			EMPTY
17312			EMPTY
42984			EMPTY
11065			EMPTY
32731			EMPTY
42673			EMPTY
28950			EMPTY
27542			EMPTY
10947			EMPTY
17886			EMPTY
42758			EMPTY
50455			EMPTY
49292			EMPTY
50190			EMPTY
49908			EMPTY
49570			EMPTY
50212			EMPTY
47648			EMPTY
49235			EMPTY
42860			EMPTY
50460			EMPTY
50230			EMPTY
50310			EMPTY
50459			EMPTY
49006			EMPTY
49491			EMPTY
47599			EMPTY
49630			EMPTY
49381			EMPTY
50235			EMPTY
27318			EMPTY
49850			EMPTY
49325			EMPTY
49417			EMPTY
49480			EMPTY
47773			EMPTY
47678			EMPTY
47227			EMPTY
49130			EMPTY
49361			EMPTY
49955			EMPTY
50304			EMPTY
48985			EMPTY
50462			EMPTY
27291			EMPTY
49982			EMPTY
50022			EMPTY
50003			EMPTY
49696			EMPTY
49801			EMPTY
49108			EMPTY
49695			EMPTY
47883			EMPTY
49424			EMPTY
49134			EMPTY
47726			EMPTY
49410			EMPTY
48331			EMPTY
50012			EMPTY
50436			EMPTY
48089			EMPTY
48803			EMPTY
50117			EMPTY
50398			EMPTY
49456			EMPTY
42498			EMPTY
50388			EMPTY
49301			EMPTY
50312			EMPTY
49536			EMPTY
48664			EMPTY
49578			EMPTY
49986			EMPTY
30558			EMPTY
49364			EMPTY
47275			EMPTY
49557			EMPTY
48942			EMPTY
49668			EMPTY
48669			EMPTY
